Date,MMM,ADBE,GOOGL,AMAT,AMZN
2019-04-23 00:00:00-04:00,142.59771728515625,278.489990234375,63.52949905395508,41.538814544677734,96.1884994506836
2019-04-24 00:00:00-04:00,142.32485961914062,275.45001220703125,63.002498626708984,42.13587951660156,95.0875015258789
2019-04-25 00:00:00-04:00,123.90087127685548,277.6600036621094,63.367000579833984,42.126407623291016,95.1125030517578
2019-04-26 00:00:00-04:00,124.51802825927734,281.9599914550781,63.87099838256836,42.325443267822266,97.53150177001952
2019-04-29 00:00:00-04:00,123.5695571899414,286.1400146484375,64.80999755859375,41.927391052246094,96.92150115966795
2019-04-30 00:00:00-04:00,123.11475372314452,289.25,59.948001861572266,41.76627731323242,96.32599639892578
2019-05-01 00:00:00-04:00,120.87998962402344,283.3500061035156,58.66600036621094,41.112342834472656,95.57599639892578
2019-05-02 00:00:00-04:00,120.02246856689452,279.6400146484375,58.32550048828125,41.415626525878906,95.04100036621094
2019-05-03 00:00:00-04:00,120.32776641845705,285.5799865722656,59.477500915527344,41.66202545166016,98.1230010986328
2019-05-06 00:00:00-04:00,118.91154479980467,283.6600036621094,59.67300033569336,40.85646438598633,97.52749633789062
2019-05-07 00:00:00-04:00,116.36492919921876,277.07000732421875,58.94300079345703,39.85186004638672,96.0500030517578
2019-05-08 00:00:00-04:00,116.0206527709961,276.7699890136719,58.53900146484375,39.40644836425781,95.88849639892578
2019-05-09 00:00:00-04:00,113.87029266357422,275.7900085449219,58.39849853515625,38.799903869628906,94.99349975585938
2019-05-10 00:00:00-04:00,114.24708557128906,278.4800109863281,58.38199996948242,38.667205810546875,94.4990005493164
2019-05-13 00:00:00-04:00,113.08419799804688,267.70001220703125,56.829498291015625,37.04660415649414,91.13400268554688
2019-05-14 00:00:00-04:00,113.82482147216795,271.8599853515625,56.24300003051758,37.91851806640625,92.00599670410156
2019-05-15 00:00:00-04:00,113.11669921875,276.82000732421875,58.540000915527344,39.33061218261719,93.55750274658205
2019-05-16 00:00:00-04:00,111.6159896850586,283.54998779296875,59.224998474121094,39.48225784301758,95.37850189208984
2019-05-17 00:00:00-04:00,109.8489761352539,279.8500061035156,58.43899917602539,40.467891693115234,93.4499969482422
2019-05-20 00:00:00-04:00,108.00397491455078,275.45001220703125,57.233001708984375,38.240745544433594,92.94850158691406
2019-05-21 00:00:00-04:00,108.6860809326172,278.07000732421875,57.72200012207031,39.11263656616211,92.8759994506836
2019-05-22 00:00:00-04:00,110.27122497558594,281.82000732421875,57.79249954223633,38.56967544555664,92.98400115966795
2019-05-23 00:00:00-04:00,108.86164093017578,274.25,57.266998291015625,38.04575729370117,90.77400207519533
2019-05-24 00:00:00-04:00,109.00598907470705,274.7699890136719,56.93050003051758,37.62662887573242,91.16400146484376
2019-05-28 00:00:00-04:00,107.2077407836914,278.25,56.97800064086914,37.15986633300781,91.82150268554688
2019-05-29 00:00:00-04:00,105.92797088623048,273.3800048828125,55.99700164794922,37.50279998779297,90.95950317382812
2019-05-30 00:00:00-04:00,105.38978576660156,274.510009765625,56.070499420166016,37.864768981933594,90.81600189208984
2019-05-31 00:00:00-04:00,104.84504699707033,270.8999938964844,55.32500076293945,36.85504913330078,88.75350189208984
2019-06-03 00:00:00-04:00,105.0353775024414,259.0299987792969,51.9370002746582,36.94078063964844,84.6344985961914
2019-06-04 00:00:00-04:00,107.8246841430664,268.7099914550781,52.7244987487793,38.50299835205078,86.47799682617188
2019-06-05 00:00:00-04:00,107.53589630126952,272.8599853515625,52.23199844360352,38.66493606567383,86.92500305175781
2019-06-06 00:00:00-04:00,108.10687255859376,274.79998779296875,52.38800048828125,39.417476654052734,87.71800231933594
2019-06-07 00:00:00-04:00,109.34729766845705,278.1600036621094,53.41849899291992,39.54130554199219,90.20149993896484
2019-06-10 00:00:00-04:00,110.44993591308594,280.3399963378906,54.13800048828125,41.093997955322266,93.03150177001952
2019-06-11 00:00:00-04:00,110.8568115234375,275.989990234375,54.051998138427734,41.67506790161133,93.18499755859376
2019-06-12 00:00:00-04:00,110.92247009277344,276.8399963378906,53.95500183105469,39.531768798828125,92.76599884033205
2019-06-13 00:00:00-04:00,110.8174285888672,276.29998779296875,54.550498962402344,39.6746711730957,93.51499938964844
2019-06-14 00:00:00-04:00,109.39982604980467,274.2799987792969,54.314998626708984,39.27458572387695,93.4834976196289
2019-06-17 00:00:00-04:00,109.4588851928711,275.6000061035156,54.69449996948242,38.57920455932617,94.30149841308594
2019-06-18 00:00:00-04:00,112.79291534423828,276.7799987792969,55.262001037597656,40.30335998535156,95.06849670410156
2019-06-19 00:00:00-04:00,112.0644073486328,291.2099914550781,55.22549819946289,40.51292419433594,95.4394989013672
2019-06-20 00:00:00-04:00,114.1580581665039,302.1099853515625,55.65999984741211,41.160675048828125,95.90950012207033
2019-06-21 00:00:00-04:00,113.77082061767578,299.3299865722656,56.26850128173828,40.92253494262695,95.56500244140624
2019-06-24 00:00:00-04:00,113.7905044555664,299.8699951171875,55.834999084472656,40.322418212890625,95.69499969482422
2019-06-25 00:00:00-04:00,112.9044952392578,287.9700012207031,54.37900161743164,39.989017486572266,93.91349792480467
2019-06-26 00:00:00-04:00,112.80603790283205,288.7200012207031,54.01599884033203,41.51313018798828,94.8915023803711
2019-06-27 00:00:00-04:00,112.55665588378906,293.2300109863281,53.83150100708008,42.57048034667969,95.21399688720705
2019-06-28 00:00:00-04:00,113.7642593383789,294.6499938964844,54.13999938964844,42.78004455566406,94.68150329589844
